,Artist,Track,0,1,2
0,Cardi B,Trust Issues,,,
1,Cardi B,On Fleek,,,
2,Cardi B,Washpoppin,,,
3,Cardi B,Selfish ,Josh X,,
4,Cardi B,I Gotta Hurt You,,,
5,Cardi B,Foreva,,,
6,Cardi B,Trick,,,
7,Cardi B,Lit Thot,,,
8,Cardi B,Sauce Boyz,,,
9,Cardi B,Bronx Season,,,
10,Cardi B,Lick ,Offset,,
11,Cardi B,Hectic ,DJ Hardwerk,,
12,Cardi B,Leave That Bitch Alone,,,
13,Cardi B,Rollin,,,
14,Cardi B,Back It Up ,Konshens,HoodCelebrityy,
15,Cardi B,Never Give Up ,Josh X,,
16,Cardi B,Pull Up,,,
17,Cardi B,Pop Off ,Casanova,,
18,Cardi B,Get Up 10,,,
19,Cardi B,Drip ,Migos,,
20,Cardi B,Bickenhead,,,
21,Cardi B,Bodak Yellow,,,
22,Cardi B,Be Careful,,,
23,Cardi B,Best Life ,Chance the Rapper,,
24,Cardi B,I Like It,Bad Bunny,J Balvin,
25,Cardi B,Ring ,Kehlani,,
26,Cardi B,Money Bag,,,
27,Cardi B,Bartier Cardi ,21 Savage,,
28,Cardi B,She Bad,YG,,
29,Cardi B,Thru Your Phone,,,
30,Cardi B,I Do ,SZA,,
31,Cardi B,Money,,,
32,Bruno Mars,Finesse - Remix;,Cardi B,,
33,Cardi B,Bronx Season,,,
34,Cardi B,What a Girl Likes,,,
35,Cardi B,Stripper Hoe,,,
36,Cardi B,Cheap Ass Weave,,,
37,Pardison Fontaine,Backin' It Up ,Cardi B,,
38,Rita Ora,Girls ,Bebe Rexha,Charli XCX,Cardi B
39,DJ Snake,Taki Taki ,Selena Gomez,Ozuna,Cardi B
40,G-Eazy,No Limit,A$AP Rocky,Cardi B,
41,Migos,MotorSport,Nicki Minaj,Cardi B,
42,Lil Yachty,Who Want The Smoke?,Cardi B,Offset,
