,Artist,Track,0,1,2,3,4,5
0,OneInThe4Rest,Jiu Jitsu ,Chris Brown,,,,,
1,Yung Q,No Time 2 Waste,Chris Brown,,,,,
2,Wale,Heaven on Earth ,Chris Brown,,,,,
3,Lyrica Anderson,Faded to Sade,Chris Brown,,,,,
4,Kap G,I See You ,Chris Brown,,,,,
5,Deorro,Five More Hours,Chris Brown,,,,,
6,Chris Brown,Party,Usher,Gucci Mane,,,,
7,Jeremih,I Think Of You,Chris Brown,Big Sean,,,,
8,Rockie Fresh,Call Me When It's Over ,Chris Brown,Thugli,,,,
9,Spiff TV,Just As I Am ,Prince Royce,Chris Brown,,,,
10,Chris Brown,Turn Up the Music,,,,,,
11,Benny Benassi,Paradise,Chris Brown,,,,,
12,Guordan Banks,Keep You in Mind,Chris Brown,,,,,
13,Jeezy,Pretty Diamonds,Chris Brown,,,,,
14,Kevin Hart,Scream,Chris Brown,Joelle James,,,,
15,Ayo Jay,Your Number REMIX ,Chris Brown,Kid Ink,,,,
16,DJ Khaled,Do You Mind ,Nicki Minaj,Chris Brown,August Alsina,Jeremih,Future,Rick Ross
17,A$AP Ferg,I Love You ,Chris Brown,Ty Dolla $ign,,,,
18,Rockie Fresh,Call Me When It's Over ,Chris Brown,,,,,
19,50 Cent,No Romeo No Juliet,Chris Brown,,,,,
20,Zendaya,Something New,Chris Brown,,,,,
21,Tank,#BDAY ,Chris Brown,Siya,Sage The Gemini,,,
22,Sevyn Streeter,Don't Kill the Fun ,Chris Brown,TroyBoi,,,,
23,August Alsina,Been Around The World,Chris Brown,,,,,
24,Rick Ross,Sorry,Chris Brown,,,,,
25,G-Eazy,Dr,Chris Brown,Tory Lanez,,,,
26,DJ Khaled,Gold Slugs ,Chris Brown,August Alsina,Fetty Wap,,,
27,DJ Khaled,Hold You Down ,Chris Brown,August Alsina,Future,Jeremih,,
28,Tinashe,Player ,Chris Brown,,,,,
29,Chris Brown,Run It!,,,,,,
30,Rita Ora,Body on Me ,Chris Brown,Fetty Wap,Haze Banga,,,
31,French Montana,Moses,Chris Brown,Migos,,,,
32,Rita Ora,Body on Me ,Chris Brown,,,,,
33,Sevyn Streeter,Don't Kill the Fun ,Chris Brown,,,,,
34,Migos,Just for Tonight ,Chris Brown,,,,,
35,Meek Mill,All Eyes on You ,Chris Brown,Nicki Minaj,,,,
36,Big Sean,My Last,Chris Brown,,,,,
37,E-40,Episode,T.I.,Chris Brown,,,,
38,Boosie Badazz,She Don't Love Me ,Chris Brown,,,,,
39,Jamie Foxx,You Changed Me ,Chris Brown,,,,,
40,Pia Mia,Do It Again,Chris Brown,Tyga,,,,
41,Flo Rida,Here It Is ,Chris Brown,,,,,
42,Mr. Probz,Waves,Chris Brown,T.I.,Robin Schulz,,,
43,Big Sean,Play No Games,Chris Brown,Ty Dolla $ign,,,,
44,TeeFLii,Blue Lipstick ,Chris Brown,,,,,
45,Fabolous,She Wildin',Chris Brown,,,,,
46,David Guetta,Dangerous (Pt. 2) ,Chris Brown,Sam Martin,Trey Songz,,,
47,Nicki Minaj,Only,Drake,Lil Wayne,Chris Brown,,,
48,Omarion,Post to Be ,Chris Brown,Jhené Aiko,,,,
49,Teyana Taylor,Do Not Disturb,Chris Brown,,,,,
50,T.I.,Private Show ,Chris Brown,,,,,
51,Asher Monroe,Memory,Chris Brown,,,,,
52,August Alsina,I Luv This Shit,Trey Songz,Chris Brown,,,,
53,B.o.B,Throwback ,Chris Brown,,,,,
54,Juicy J,Talkin' Bout ,Chris Brown,Wiz Khalifa,,,,
55,Sevyn Streeter,It Won't Stop ,Chris Brown,,,,,
56,DJ Khaled,I'm Still,Chris Brown,Wale,Wiz Khalifa,Ace Hood,,
57,Kid Ink,Show Me,Chris Brown,,,,,
58,Sean Kingston,Beat It ,Chris Brown,Wiz Khalifa,,,,
59,Chris Brown,Don't Wake Me Up,,,,,,
60,Snoop Lion,Remedy ,Busta Rhymes,Chris Brown,,,,
61,Tyga,For The Road,Chris Brown,,,,,
62,Fabolous,Ready,Chris Brown,,,,,
63,Pusha T,Sweet Serenade,Chris Brown,,,,,
64,Rich Gang,Bigger Than Life,Chris Brown,Tyga,Birdman,Lil Wayne,,
65,Ester Dean,Drop It Low,Chris Brown,,,,,
66,Ace Hood,Rider,Chris Brown,,,,,
67,Rihanna,Nobody's Business,Chris Brown,,,,,
68,The Game,Celebration,Chris Brown,Tyga,Wiz Khalifa,Lil Wayne,,
69,Pitbull,Hope We Meet Again ,Chris Brown,,,,,
70,Brandy,Put It Down ,Chris Brown,,,,,
71,Wisin & Yandel,Something About You,Chris Brown,T-Pain,,,,
72,Tank,Lonely ,Chris Brown,,,,,
73,B.o.B,Arena ,Chris Brown,T.I.,,,,
74,E-40,Function,Problem,Chris Brown,French Montana,Red Cafe,Jeezy,
75,Tyga,For The Fame,Chris Brown,Wynter Gordon,,,,
