,Artist,Track,0,1,2,3,4
0,Drake,Keep The Family Close,,,,,
1,Drake,9,,,,,
2,Drake,U,,,,,
3,Drake,Feel No Ways,,,,,
4,Drake,Hype,,,,,
5,Drake,Weston Road Flows,,,,,
6,Drake,Redemption,,,,,
7,Drake,With Yo,PARTYNEXTDOOR,,,,
8,Drake,Faithful,Pimp C,dvsn,,,
9,Drake,Still Here,,,,,
10,Drake,Controlla,,,,,
11,Drake,One Dance,WizKid,Kyla,,,
12,Drake,Grammys,Future,,,,
13,Drake,Childs Play,,,,,
14,Drake,Pop Style,,,,,
15,Drake,Too Good,Rihanna,,,,
16,Drake,Summers Over,,,,,
17,Drake,Fire,,,,,
18,Drake,Views,,,,,
19,Drake,Hotline Bling,,,,,
20,Drake,Digital Dash,Future,,,,
21,Drake,Big Rings,Future,,,,
22,Drake,Live From The Gutter,Future,,,,
23,Drake,Diamonds Dancing,Future,,,,
24,Drake,Scholarships,Future,,,,
25,Drake,Plastic Bag,Future,,,,
26,Drake,I'm The Plug,Future,,,,
27,Drake,Change Locations,Future,,,,
28,Drake,Jumpman,Future,,,,
29,Future,Jersey,,,,,
30,Drake,30 for 30 Freestyle,,,,,
31,Drake,Legend,,,,,
32,Drake,Energy,,,,,
33,Drake,10 Bands,,,,,
34,Drake,Know Yourself,,,,,
35,Drake,No Tellin',,,,,
36,Drake,Madonna,,,,,
37,Drake,6 God,,,,,
38,Drake,Star67,,,,,
39,Drake,Preach,PARTYNEXTDOOR,,,,
40,Drake,Wednesday Night,PARTYNEXTDOOR,,,,
41,Drake,Used To,Lil Wayne,,,,
42,Drake,6 Man,,,,,
43,Drake,Now,,,,,
44,Drake,Company,Travis Scott,,,,
45,Drake,You,,,,,
46,Drake,Jungle,,,,,
47,Drake,6PM In New York,,,,,
48,Drake,Come Thru,,,,,
49,Drake,All Me,2 Chainz,Big Sean,,,
50,Drake,Over My Dead Body,,,,,
51,Drake,Shot For Me,,,,,
52,Drake,Headlines,,,,,
53,Drake,Crew Love,The Weeknd,,,,
54,Drake,Take Care,Rihanna,,,,
55,Drake,Marvins Room,,,,,
56,Drake,Buried Alive,Kendrick Lamar,,,,
57,Drake,Under Ground Kings,,,,,
58,Drake,We'll Be Fine,Birdman,,,,
59,Drake,Make Me Proud,Nicki Minaj,,,,
60,Drake,Lord Knows,Rick Ross,,,,
61,Drake,Cameras / Good Ones Go Interlude,,,,,
62,Drake,Doing It Wrong,,,,,
63,Drake,The Real Her,Lil Wayne,André 3000,,,
64,Drake,Look What You've Done,,,,,
65,Drake,HYFR (Hell Ya Fucking Right),Lil Wayne,,,,
66,Drake,Practice,,,,,
67,Drake,The Ride,,,,,
68,Drake,The Motto,Lil Wayne,,,,
69,Drake,Fireworks,Alicia Keys,,,,
70,Drake,Karaoke,,,,,
71,Drake,The Resistance,,,,,
72,Drake,Over,,,,,
73,Drake,Show Me A Good Time,,,,,
74,Drake,Up All Night,Nicki Minaj,,,,
75,Drake,Fancy,T.I.,Swizz Beatz,,,
76,Drake,Shut It Down,The-Dream,,,,
77,Drake,Unforgettable,Jeezy,,,,
78,Drake,Light Up,JAY-Z,,,,
79,Drake,Miss Me,Lil Wayne,,,,
80,Drake,Cece's,,,,,
81,Drake,Find Your Love,,,,,
82,Drake,Thank Me Now,,,,,
83,Drake,I'm Goin In,Lil Wayne,Jeezy,,,
84,Drake,Fear,,,,,
85,Drake,"Two Birds, One Stone",,,,,
86,Drake,Fake Love,,,,,
87,Drake,Sneakin’,21 Savage,,,,
88,Drake,Summer Sixteen,,,,,
89,Drake,Back To Back,,,,,
90,Drake,Charged Up,,,,,
91,Drake,Right Hand,,,,,
92,Drake,0 To 100 / The Catch Up,,,,,
93,Drake,9AM in Dallas,,,,,
94,2 Chainz,Big Amount,Drake,,,,
95,2 Chainz,No Lie,Drake,,,,
96,Big Sean,Blessings,Drake,,,,
97,Dave,Wanna Know Remix ,Drake,,,,
98,DJ Khaled,For Free,Drake,,,,
99,DJ Khaled,I'm On One,Drake,Rick Ross,Lil Wayne,,
100,French Montana,No Shopping,Drake,,,,
101,Future,Where Ya At ,Drake,,,,
102,Future,Never Satisfied ,Drake,,,,
103,Future,100it Racks,2 Chainz,Drake,,,
104,The Game,100 ,Drake,,,,
105,Gucci Mane,Back On Road,Drake,,,,
106,ILOVEMAKONNEN,Tuesday ,Drake,,,,
107,Kendrick Lamar,Poetic Justice,Drake,,,,
108,Lil Wayne,Believe Me,Drake,,,,
109,Lil Wayne,Grindin',Drake,,,,
110,Lil Wayne,Right Above It,Drake,,,,
111,Lil Wayne,Love Me,Drake,Future,,,
112,Meek Mill,R.I.C.O. ,Drake,,,,
113,Migos,Versace (Remix),Drake,,,,
114,Nicki Minaj,Truffle Butter,Drake,Lil Wayne,,,
115,OB OBrien,Schemin Up ,Drake,Preme,,,
116,PARTYNEXTDOOR,Over Here ,Drake,,,,
117,PARTYNEXTDOOR,Come and See Me ,Drake,,,,
118,Rihanna,Work,Drake,,,,
119,Rihanna,What's My Name?,Drake,,,,
120,YG,Who Do You Love?,Drake,,,,
121,YG,Why You Always Hatin?,Drake,Kamaiyah,,,
122,Young Money,Trophies,Drake,,,,
123,Birdman,4 My Town (Play Ball),Drake,Lil Wayne,,,
124,Birdman,Mo Milly,Drake,Bun B,,,
125,Diddy - Dirty Money,Loving You No More,Drake,,,,
126,French Montana,Pop That,Rick Ross,Drake,Lil Wayne,,
127,The Game,Good Girls Go Bad,Drake,,,,
128,J. Cole,In the Morning,Drake,,,,
129,Jamie Foxx,Fall For Your Type ,Drake,,,,
130,Justin Bieber,Right Here,Drake,,,,
131,Lil Wayne,Gonorrhea,Drake,,,,
132,Lil Wayne,With Yo,Drake,,,,
133,Lil Wayne,She Will,Drake,,,,
134,Lil Wayne,It's Good,Drake,Jadakiss,,,
135,Majid Jordan,My Love ,Drake,,,,
136,Mary J. Blige,Mr. Wrong,Drake,,,,
137,Nicki Minaj,Only,Drake,Lil Wayne,Chris Brown,,
138,Nicki Minaj,Champion,Nas,Drake,Jeezy,,
139,Preme,DnF ,Drake,Future,,,
140,Rick Ross,Diced Pineapples,Wale,Drake,,,
141,Rick Ross,Stay Schemin,Drake,French Montana,,,
142,Rick Ross,Aston Martin Music,Drake,Chrisette Michele,,,
143,Roy Woods,Drama ,Drake,,,,
144,Shanell,So Good,Lil Wayne,Drake,,,
145,Timbaland,Know Bout Me,JAY-Z,Drake,James Fauntleroy,,
146,Timbaland,Say Something ,,,,,
147,Tyga,Still Got It,Drake,,,,
148,The Weeknd,The Zone,Drake,,,,
149,ScHoolboy Q,3 on ,Drake,Tinashe,,,
150,Justin Timberlake,Cabaret ,Drake,,,,
151,PARTYNEXTDOOR,Recognize ,Drake,,,,
152,Romeo Santos,Odio ,Drake,,,,
