,Artist,Track,0,1,2
0,Ed Sheeran,Photograph,,,
1,Ed Sheeran,Castle on the Hill,,,
2,Ed Sheeran,The A Team,,,
3,Ed Sheeran,Supermarket Flowers,,,
4,Ed Sheeran,Thinking out Loud,,,
5,Ed Sheeran,I'm a Mess,,,
6,Ed Sheeran,Perfect,,,
7,Ed Sheeran,Friends,,,
8,Ed Sheeran,Drunk,,,
9,Ed Sheeran,Afire Love,,,
10,Ed Sheeran,Shirtsleeves,,,
11,Ed Sheeran,I See Fire,,,
12,Ed Sheeran,Small Bump,,,
13,Ed Sheeran,Give Me Love,,,
14,Ed Sheeran,Happier,,,
15,Ed Sheeran,Dive,,,
16,Ed Sheeran,Eraser,,,
17,Ed Sheeran,Galway Girl,,,
18,Ed Sheeran,Everything You Are,,,
19,Ed Sheeran,One,,,
20,Ed Sheeran,New Man,,,
21,Ed Sheeran,Hearts Don't Break Around Here,,,
22,Ed Sheeran,What Do I Know?,,,
23,Ed Sheeran,How Would You Feel (Paean),,,
24,Ed Sheeran,Barcelona,,,
25,Ed Sheeran,Bibia Be Ye Ye,,,
26,Ed Sheeran,Nancy Mulligan,,,
27,Ed Sheeran,Save Myself,,,
28,Ed Sheeran,Sing,,,
29,Ed Sheeran,Don't,,,
30,Ed Sheeran,Nina,,,
31,Ed Sheeran,Bloodstream,,,
32,Ed Sheeran,Tenerife Sea,,,
33,Ed Sheeran,Runaway,,,
34,Ed Sheeran,The Man,,,
35,Ed Sheeran,Take It Back,,,
36,Ed Sheeran,Even My Dad Does Sometimes,,,
37,Ed Sheeran,English Rose,,,
38,Ed Sheeran,Touch and Go,,,
39,Ed Sheeran,New York,,,
40,Ed Sheeran,Make It Rain,,,
41,Ed Sheeran,"You Need Me, I Don't Need You",,,
42,Ed Sheeran,So,,,
43,Ed Sheeran,Be Like You,,,
44,Ed Sheeran,The City,,,
45,Ed Sheeran,Sunburn,,,
46,Ed Sheeran,Let It Out,,,
47,Ed Sheeran,Homeless,,,
48,Ed Sheeran,Little Bird,,,
49,Ed Sheeran,Sofa,,,
50,Ed Sheeran,One Night,,,
51,Ed Sheeran,Firefly,,,
52,Ed Sheeran,Fall,,,
53,Ed Sheeran,Fire Alarms,,,
54,Ed Sheeran,Where We Land,,,
55,Ed Sheeran,Cold Coffee,,,
56,Ed Sheeran,She,,,
57,Ed Sheeran,U.N.I.,,,
58,Ed Sheeran,Grade 8,,,
59,Ed Sheeran,Wake Me Up,,,
60,Ed Sheeran,This,,,
61,Ed Sheeran,The City,,,
62,Ed Sheeran,Lego House,,,
