,Artist,Track,0,1,2,3,4,5,6,7,8,9,10,11
0,Eminem,Infinite,,,,,,,,,,,,
1,Eminem,Just Don't Give A Fuck,,,,,,,,,,,,
2,Eminem,Just Don't Give A Fuck,,,,,,,,,,,,
3,Eminem,Just Don't Give A Fuck,,,,,,,,,,,,
4,Eminem,Brain Damage,,,,,,,,,,,,
5,Bizarre (Of D12),Trife Thieves W/Fuzz,,,,,,,,,,,,
6,Shabaam Sahdeeq,5 Star Generals,Eminem,Skam2,A.L. Skills,Kwest The Madd Ladd,,,,,,,,
7,Missy Elliott,Busa Rhyme ,Eminem,,,,,,,,,,,
8,Kid Rock,Fuck Off,,,,,,,,,,,,
9,OldWorlDisorder,3hree6ix5ive ,Eminem,Skam2?,,,,,,,,,,
10,The Anonymous,Green and Gold,Eminem,Vesuveo,Able.,,,,,,,,,
11,Xzibit,The Anthem,Jazzypha,"Robert F. ""Prince Rakeem"" Diggs",Tech 9,Eminem,Kool G Rap,Jayo Felony,Chino XL,KRS-One,Sway & King Tech,RZA,Tech N9ne,Pharoahe Monch
12,Eminem,Bad Influence,,,,,,,,,,,,
13,Eminem,My Fault,Various Artists,,,,,,,,,,,
14,Funkmaster Flex,If I Get Locked Up (Funkmaster Flex & Big Kap,Big Kap,Eminem,Dr. Dre,,,,,,,,,
15,Eminem,Public Service Announcement,,,,,,,,,,,,
16,Eminem,My Name Is,,,,,,,,,,,,
17,Eminem,Guilty Conscience,Dr. Dre,,,,,,,,,,,
18,Eminem,Brain Damage,,,,,,,,,,,,
19,Eminem,Paul,"Paul ""Bunyan"" Rosenberg",,,,,,,,,,,
20,Eminem,If I Had,,,,,,,,,,,,
21,Eminem,'97 Bonnie,,,,,,,,,,,,
22,Eminem,Bitch,Zoe Winkler,,,,,,,,,,,
23,Eminem,Role Model,,,,,,,,,,,,
24,Eminem,Lounge,Jeff Bass,Mark Bass,,,,,,,,,,
25,Eminem,My Fault,,,,,,,,,,,,
26,Eminem,Cum On Everybody,,,,,,,,,,,,
27,Eminem,Rock Bottom,,,,,,,,,,,,
28,Eminem,Just Don't Give A Fuck,,,,,,,,,,,,
29,Eminem,Soap,Jeff Bass,"Royce Da 5'9""",,,,,,,,,,
30,Eminem,As The World Turns,,,,,,,,,,,,
31,Eminem,I'm Shady,,,,,,,,,,,,
32,Eminem,Bad Meets Evil,"Royce Da 5'9""",,,,,,,,,,,
33,Eminem,Still Don't Give A Fuck,,,,,,,,,,,,
34,Eminem,Hazardous Youth,,,,,,,,,,,,
35,Eminem,Get You Mad,Sway & King Tech,,,,,,,,,,,
36,Eminem,Greg,,,,,,,,,,,,
37,Eminem,Bad Guys Always Die,Dr. Dre,,,,,,,,,,,
38,Eminem,Guilty Conscience,Dr. Dre,,,,,,,,,,,
39,Eminem,Guilty Conscience,Dr. Dre,,,,,,,,,,,
40,Eminem,Guilty Conscience,Dr. Dre,,,,,,,,,,,
41,Eminem,My Name Is,,,,,,,,,,,,
42,Eminem,Just Don't Give A Fuck,,,,,,,,,,,,
43,Eminem,Just Don't Give A Fuck,,,,,,,,,,,,
44,Domingo,Hustlers,Eminem,,,,,,,,,,,
45,The Notorious B.I.G.,Dead Wrong ,Eminem,,,,,,,,,,,
46,The High & Mighty,The Last Hit,Eminem,,,,,,,,,,,
47,Dr. Dre,The Watcher,Eminem,Knoc-Turn'al,,,,,,,,,,
48,Dr. Dre,What's The Difference,Eminem,Xzibit,,,,,,,,,,
49,Dr. Dre,Forgot About Dre,Eminem,,,,,,,,,,,
50,Eminem,Murder Murder,,,,,,,,,,,,
51,Sticky Fingaz,What If I Was White,Eminem,,,,,,,,,,,
52,Eminem,Off The Wall,Redman,,,,,,,,,,,
53,D12,Shit On You,,,,,,,,,,,,
54,D12,Shit On You,,,,,,,,,,,,
55,D12,Shit On You,,,,,,,,,,,,
56,The Madd Rapper,Stir Crazy ,Eminem,,,,,,,,,,,
57,Outsidaz,Rush Ya Clique,Eminem,,,,,,,,,,,
58,Xzibit,Don't Aproach Me ,Eminem,,,,,,,,,,,
59,Tony Touch,Get Back,D12,Eminem,,,,,,,,,,
60,Eminem,Public Service Announcement 2000,,,,,,,,,,,,
61,Eminem,Kill You,,,,,,,,,,,,
62,Eminem,Stan,Dido,,,,,,,,,,,
63,"Paul ""Bunyan"" Rosenberg",Paul,,,,,,,,,,,,
64,Eminem,Who Knew,,,,,,,,,,,,
65,Eminem,Steve Berman,Steve Berman,,,,,,,,,,,
66,Eminem,The Way I Am,,,,,,,,,,,,
67,Eminem,The Real Slim Shady,,,,,,,,,,,,
68,Eminem,Remember Me?,RBX,Sticky Fingaz,,,,,,,,,,
69,Eminem,I'm Back,,,,,,,,,,,,
70,Eminem,Marshall Mathers,,,,,,,,,,,,
