,Artist,Track,0,1,2
0,Juice WRLD,Can't Die,,,
1,Juice WRLD,Titanic,,,
2,The Kid LAROI,GO ,Juice WRLD,,
3,Juice WRLD,Righteous,,,
4,Juice WRLD,Let Me Know (I Wonder Why Freestyle),,,
5,Juice WRLD,Bandit ,YoungBoy Never Broke Again,,
6,benny blanco,Graduation ,Juice WRLD,,
7,Juice WRLD,Wasted ,Lil Uzi Vert,,
8,Juice WRLD,I'm Still,,,
9,Juice WRLD,Hurt Me,,,
10,Juice WRLD,Rich And Blind,,,
11,Juice WRLD,Legends,,,
12,Juice WRLD,Long Gone,,,
13,606 GODZ,Sticks and Stones,Juice WRLD,,
14,Juice WRLD,I'll Be Fine,,,
15,Juice WRLD,All Girls Are The Same,,,
16,Juice WRLD,End Of The Road,,,
17,Juice WRLD,Lucid Dreams,,,
18,Juice WRLD,Lean Wit Me,,,
19,Juice WRLD,Scared Of Love,,,
20,Juice WRLD,Candles,,,
21,Juice WRLD,Black,,,
22,Future,Fine China,Juice WRLD,,
23,Juice WRLD,Make It Back,,,
24,Future,7 Am Freestyle,Juice WRLD,,
25,Future,Shorty,Juice WRLD,,
26,Future,No Issue,Juice WRLD,,
27,Future,WRLD On Drugs,Juice WRLD,,
28,Future,Ain't Livin Right ,Juice WRLD,Gunna,
29,Future,Hard Work Pays Off,Juice WRLD,,
30,Juice WRLD,Armed And Dangerous,,,
31,Juice WRLD,Used To,,,
32,benny blanco,Roses ,Juice WRLD,Brendon Urie,
33,Juice WRLD,Hide ,Seezyn,,
34,Ellie Goulding,Hate Me ,Juice WRLD,,
35,Lil Yachty,Yacht Club ,Juice WRLD,,
36,G Herbo,Honestly ,Southside,Juice WRLD,
37,Trippie Redd,1400 / 999 Freestyle,Juice WRLD,,
38,DJ BomaNdoki,Demon Love (Freestyle),,,
39,Juice WRLD,Empty,,,
40,Juice WRLD,Maze,,,
41,Juice WRLD,Fast,,,
42,Juice WRLD,Flaws And Sins,,,
43,Juice WRLD,Hear Me Calling,,,
44,Juice WRLD,Who Shot Cupid?,,,
45,Juice WRLD,Robbery,,,
46,Juice WRLD,Feeling,,,
47,Juice WRLD,Ring Ring ,Rvssian,Clever,
48,Juice WRLD,Desire,,,
49,A Boogie Wit da Hoodie,Demons and Angels ,Juice WRLD,,
50,Juice WRLD,ON GOD ,Young Thug,,
51,Juice WRLD,10 Feet,,,
52,Juice WRLD,Won’t Let Go,,,
53,Juice WRLD,Rider,,,
54,Juice WRLD,Make Believe,,,
55,Juice WRLD,She’s The One,,,
56,Juice WRLD,The Bees Knees,,,
57,Juice WRLD,HeMotions,,,
58,Juice WRLD,Big,,,
59,Juice WRLD,Out My Way,,,
60,Juice WRLD,Demonz ,Brent Faiyaz,,
61,Juice WRLD,Syphilis,,,
62,Future,Astronauts,Juice WRLD,,
63,Future,Jet Lag ,Juice WRLD,Young Scooter,
64,Future,Realer N Realer,Juice WRLD,,
65,Future,Different ,Juice WRLD,Yung Bans,
66,Future,Red Bentley ,Juice WRLD,Young Thug,
67,Future,Transformer ,Nicki Minaj,,
68,Future,Oxy ,Lil Wayne,,
69,Future,,,,
70,Halsey,Without Me (with Juice WRLD,Juice WRLD,,
71,Kodak Black,MoshPit ,Juice WRLD,,
72,Ski Mask The Slump God,Nuketown ,Juice WRLD,,
73,Juice WRLD,Betrayal,,,
74,Juice WRLD,Intr,,,
75,Juice WRLD,Karma,,,
76,Yung Bans,Round ,Juice WRLD,,
77,G Herbo,Never Scared ,Juice WRLD,,
78,BTS,All Night (BTS World Original Soundtrack) [Pt. 3],Juice WRLD,,
79,Eminem,Godzilla ,Juice WRLD,,
80,Lil Tecca,Ransom ,Juice WRLD,,
81,YNW Melly,Suicidal (Remix) ,Juice WRLD,,
82,G Herbo,PTSD,Juice WRLD,Lil Uzi Vert,Chance the Rapper
83,Juice WRLD,Tell Me U Luv Me ,Trippie Redd,,
84,Juice WRLD,Life's A Mess ,Halsey,,
85,Juice WRLD,Anxiety,,,
86,Juice WRLD,Conversations,,,
87,Juice WRLD,Bad Energy,,,
88,Juice WRLD,Righteous,,,
89,Juice WRLD,Blood On My Jeans,,,
90,Juice WRLD,Tell Me U Luv Me ,Trippie Redd,,
91,Juice WRLD,Hate The Other Side ,Marshmello,The Kid LAROI,Polo G
92,Juice WRLD,Get Through It,,,
93,Juice WRLD,Life's A Mess ,Halsey,,
94,Juice WRLD,Come & Go ,Marshmello,,
95,Juice WRLD,I Want It,,,
96,Juice WRLD,Fighting Demons,,,
97,Juice WRLD,Wishing Well,,,
98,Juice WRLD,Screw Juice,,,
99,Juice WRLD,Up Up And Away,,,
100,Juice WRLD,"The Man, The Myth, The Legend",,,
101,Juice WRLD,Stay High,,,
102,Juice WRLD,Man Of The Year,,,
103,Juice WRLD,Juice WRLD Speaks From Heaven,,,
104,Polo G,Flex ,Juice WRLD,,
105,Young Thug,Mannequin Challenge ,Juice WRLD,,
106,Trippie Redd,6 Kiss,Juice WRLD,YNW Melly,
107,Rvssian,No Me Ame,Anuel AA,Juice WRLD,
108,TeRex Productions,Juice Wrld Freestyles to Codeine Crazy,,,
