,Artist,Track,0,1,2,3,4,5,6
0,JAY-Z,Never Change,,,,,,,
1,Jagged Edge,Let's Get Married ,Kanye West,"Kanye West for KanMan Productions, Inc. and Krazy Kat Catalogue, Inc.",,,,,
2,Damon Dash,Champions,Kanye West,Beanie Sigel,Cam’ron,Young Chris,Twista,,
3,Chops,Changing Lanes,Kanye West,,,,,,
4,JAY-Z,The Bounce,Kanye West,,,,,,
5,JAY-Z,Encore,,,,,,,
6,JAY-Z,Lucifer,,,,,,,
7,Twista,Slow Jamz ,Kanye West,Jamie Foxx,,,,,
8,Twista,Overnight Celebrity,,,,,,,
9,Malik Yusef,Wouldn't You Like To…,Kanye West,Jv,Common,,,,
10,Kanye West,My Way,,,,,,,
11,Kanye West,Intr,,,,,,,
12,Kanye West,We Don't Care,,,,,,,
13,Kanye West,Graduation Day,,,,,,,
14,Kanye West,All Falls Down,Syleena Johnson,,,,,,
15,Kanye West,I'll Fly Away,,,,,,,
16,Kanye West,Spaceship,GLC,Consequence,,,,,
17,Kanye West,Jesus Walks,,,,,,,
18,Kanye West,Never Let Me Down,JAY-Z,J. Ivy,,,,,
19,Kanye West,Get Em High,Talib Kweli,Common,,,,,
20,Kanye West,Workout Plan,,,,,,,
21,Kanye West,The New Workout Plan,,,,,,,
22,Twista,Slow Jamz,Kanye West,Jamie Foxx,,,,,
23,Kanye West,Breathe In Breathe Out,Ludacris,,,,,,
24,Kanye West,School Spirit Skit 1,,,,,,,
25,Kanye West,School Spirit,,,,,,,
26,Kanye West,School Spirit Skit 2,,,,,,,
27,Kanye West,Lil Jimmy Skit,,,,,,,
28,Kanye West,Two Words,Mos Def,Freeway,The Boys Choir Of Harlem,,,,
29,Kanye West,Through The Wire,,,,,,,
30,Kanye West,Family Business,,,,,,,
31,Kanye West,Last Call,,,,,,,
32,Dwele,Hold On,Kanye West,Consequence,,,,,
33,Chamillionaire,Call Some Hoes,,,,,,,
34,Dilated Peoples,This Way,,,,,,,
35,Jin,I Got A Love -,Kanye West,,,,,,
36,Jadakiss,Gettin' It In,Kanye West,,,,,,
37,John Legend,Number One,Kanye West,,,,,,
38,Janet Jackson,My Baby,Kanye West,,,,,,
39,Brandy,Talk About Our Love ,Kanye West,,,,,,
40,Jamie Foxx,Extravaganza ,Kanye West,,,,,,
41,Kanye West,Diamonds From Sierra Leone - Remix,JAY-Z,,,,,,
42,Cam’ron,Down And Out,Kanye West,Syleena Johnson,,,,,
43,Young Gunz,Grown Man Pt. 2,Kanye West,John Legend,,,,,
44,Common,They Say,John Legend,Kanye West,,,,,
45,Common,GO!,,,,,,,
46,Common,The Food,,,,,,,
47,Common,The Corner,The Last Poets,,,,,,
48,Nas,Still Dreaming,Kanye West,Chrisette Michele,,,,,
49,Slum Village,Selfish,John Legend,Kanye West,,,,,
50,Kanye West,Wake Up Mr. West,,,,,,,
51,Kanye West,Heard 'Em Say,Adam Levine,,,,,,
52,Kanye West,Touch The Sky,Lupe Fiasco,,,,,,
53,Kanye West,Gold Digger,Jamie Foxx,,,,,,
54,Kanye West,Skit #1,,,,,,,
55,Kanye West,Drive Slow,Paul Wall,GLC,,,,,
56,Kanye West,My Way Home,Common,,,,,,
57,Kanye West,Crack Music,The Game,,,,,,
58,Kanye West,Roses,,,,,,,
59,Kanye West,Bring Me Down,Brandy,,,,,,
60,Kanye West,Addiction,,,,,,,
61,Kanye West,Skit #2,,,,,,,
62,Kanye West,Diamonds From Sierra Leone,JAY-Z,,,,,,
63,Kanye West,We Major,Nas,Really Doe,,,,,
64,Kanye West,Skit #3,,,,,,,
65,Kanye West,Hey Mama,,,,,,,
66,Kanye West,Celebration,,,,,,,
67,Kanye West,Skit #4,,,,,,,
68,Kanye West,Gone,Consequence,Cam’ron,,,,,
69,Kanye West,Diamonds From Sierra Leone,,,,,,,
70,Kanye West,Late,,,,,,,
71,Pharrell Williams,Number One,Kanye West,,,,,,
72,The Game,Wouldn't Get Far,,,,,,,
73,Ghostface Killah,Back Like That,Kanye West,Ne-Yo,,,,,
74,DJ Clue,Like This/Almost (Skit),Fabolous,Kanye West,,,,,
75,Rhymefest,More ,Kanye West,,,,,,
76,Rhymefest,Brand New ,Kanye West,,,,,,
77,T-Pain,Buy U A Drank (Shawty Snappin') Remix ,Kanye West,,,,,,
78,Kanye West,Impossible,Twista,Keyshia Cole,BJ,,,,
79,Keyshia Cole,Let It Go,Piper,Adam Deitch,Eric Krasno,,,,
80,Fall Out Boy,"This Ain't A Scene, It's An Arms Race",Kanye West,,,,,,
81,Three 6 Mafia,Side 2 Side -,Kanye West,Project Pat,,,,,
82,Ne-Yo,Because Of You,Kanye West,,,,,,
83,Consequence,"The Good, The Bad, The Ugly",Kanye West,,,,,,
84,Consequence,Grammy Family ,DJ Khaled,Kanye West,John Legend,,,,
85,Consequence,"The Good, The Bad, The Ugly ",Kanye West,,,,,,
86,Kanye West,Good Morning,,,,,,,
87,Kanye West,Champion,,,,,,,
88,Kanye West,Stronger,,,,,,,
89,Kanye West,I Wonder,,,,,,,
90,Kanye West,Good Life,T-Pain,,,,,,
91,Kanye West,Can't Tell Me Nothing,,,,,,,
92,Kanye West,Barry Bonds,Lil Wayne,,,,,,
93,Kanye West,Drunk and Hot Girls,Mos Def,,,,,,
94,Kanye West,Flashing Lights,Dwele,,,,,,
95,Kanye West,Everything I Am,DJ Premier,,,,,,
96,Kanye West,The Glory,,,,,,,
97,Kanye West,Homecoming,Chris Martin,,,,,,
98,Kanye West,Big Brother,,,,,,,
99,JAY-Z,Swagga Like Us,T.I.,Kanye West,Lil Wayne,,,,
100,Chris Brown,Down ,Kanye West,,,,,,
101,Common,Punch Drunk Love,Kanye West,,,,,,
102,Talib Kweli,In the Mood ,Kanye West,Roy Ayers,,,,,
103,N.O.R.E.,I'ma Get You,Kanye West,GLC,,,,,
104,Keyshia Cole,I Changed My Mind,,,,,,,
105,N.E.R.D,Everyone Nose (All The Girls Standing In The Line For The Bathroom),Kanye West,Lupe Fiasco,Pusha T,,,,
106,Really Doe,Plastic,,,,,,,
107,Kidz In The Hall,Purrty Woman,,,,,,,
108,Estelle,American Boy ,Kanye West,,,,,,
109,DJ Felli Fel,Finer Things,Kanye West,Jermaine Dupri,Fabolous,Ne-Yo,,,
110,Jeezy,Put On,Kanye West,,,,,,
111,Common,Southside,Kanye West,,,,,,
112,88-Keys,Stay Up! (Viagra) ,Kanye West,,,,,,
113,DJ Khaled,Go Hard ,T-Pain,Kanye West,,,,,
114,Malik Yusef,Promised Land,Adam Levine,Kanye West,,,,,
115,Beyoncé,Ego ,Kanye West,,,,,,
116,Sophia Fresh,What It Is ,Kanye West,,,,,,
117,Kanye West,Say You Will,,,,,,,
118,Kanye West,Welcome To Heartbreak,Kid Cudi,,,,,,
119,Kanye West,Heartless,,,,,,,
120,Kanye West,Amazing,Jeezy,,,,,,
121,Kanye West,Love Lockdown,,,,,,,
122,Kanye West,Paranoid,Mr Hudson,,,,,,
123,Kanye West,RoboCop,,,,,,,
124,Kanye West,Street Lights,,,,,,,
125,Kanye West,Bad News,,,,,,,
126,Kanye West,See You In My Nightmares,Lil Wayne,,,,,,
127,Kanye West,Coldest Winter,,,,,,,
128,Kanye West,Pinocchio Story,,,,,,,
129,Jamie Foxx,Digital Girl,Kanye West,The Dream,,,,,
130,Thirty Seconds To Mars,Hurricane 2.0,Kanye West,,,,,,
131,Keri Hilson,Knock You Down,Kanye West,Ne-Yo,,,,,
132,Consequence,Whatever U Want,Kanye West,John Legend,,,,,
133,Clipse,Kinda Like a Big Deal ,Kanye West,,,,,,
134,Jamie Foxx,Digital Girl Remix ,Drake,Kanye West,The-Dream,Sean K.,"C. ""Tricky"" Stewart",,
135,Madonna,Beat Goes On ,Kanye West,,,,,,
136,T-Pain,Therapy ,Kanye West,,,,,,
