,Artist,Track,0,1,2,3,4,5,6,7,8
0,Kendrick Lamar,Growing Apart (To Get Closer),Jhené Aiko,,,,,,,,
1,Kendrick Lamar,Ignorance Is Bliss,,,,,,,,,
2,Kendrick Lamar,,Ab-Soul,,,,,,,,
3,Kendrick Lamar,Alien Girl (Today W/ Her),,,,,,,,,
4,Kendrick Lamar,Opposites Attract (Tomorrow W/O Her),JaVonté,,,,,,,,
5,Kendrick Lamar,Michael Jordan,ScHoolboy Q,,,,,,,,
6,Kendrick Lamar,R.O.T.C ,BJ The Chicago Kid,,,,,,,,
7,Kendrick Lamar,Barbed Wire,Ash Riser,,,,,,,,
8,Kendrick Lamar,Average Joe,,,,,,,,,
9,Kendrick Lamar,H.O.C,,,,,,,,,
10,Kendrick Lamar,Cut You Off (To Grow Closer),,,,,,,,,
11,Kendrick Lamar,She Needs Me (Remix),Dom Kennedy,Murs,,,,,,,
12,Kendrick Lamar,F*ck Your Ethnicity,,,,,,,,,
13,Kendrick Lamar,Hol' Up,,,,,,,,,
14,Kendrick Lamar,A.D.H.D,,,,,,,,,
15,Kendrick Lamar,No Make-Up (Her Vice),,,,,,,,,
16,Kendrick Lamar,Tammy's Song (Her Evils),,,,,,,,,
17,Kendrick Lamar,Chapter Six,,,,,,,,,
18,Kendrick Lamar,Ronald Reagan Era,,,,,,,,,
19,Kendrick Lamar,Poe Mans Dreams (His Vice),,,,,,,,,
20,Kendrick Lamar,The Spiteful Chant,,,,,,,,,
21,Kendrick Lamar,Chapter Ten,,,,,,,,,
22,Kendrick Lamar,Keisha's Song (Her Pain),,,,,,,,,
23,Kendrick Lamar,Rigamortus,,,,,,,,,
24,Kendrick Lamar,Kush,,,,,,,,,
25,Kendrick Lamar,Blow My High (Members Only),,,,,,,,,
26,Kendrick Lamar,Ab-Souls,,,,,,,,,
27,Kendrick Lamar,HiiiPower,,,,,,,,,
28,Kendrick Lamar,Sherane a.k.a Master Splinter’s Daughter,,,,,,,,,
29,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",,,,,,,,,
30,Kendrick Lamar,Backseat Freestyle,,,,,,,,,
31,Kendrick Lamar,The Art of Peer Pressure,,,,,,,,,
32,Kendrick Lamar,Money Trees,Jay Rock,,,,,,,,
33,Kendrick Lamar,Poetic Justice,Drake,,,,,,,,
34,Kendrick Lamar,good kid,,,,,,,,,
35,Kendrick Lamar,m.A.A.d city,MC Eiht,,,,,,,,
