,Artist,Track,0,1,2,3,4,5
0,Lil Wayne,Walk In,,,,,,
1,Lil Wayne,Go DJ,,,,,,
2,Lil Wayne,This Is The Carter,Mannie Fresh,,,,,
3,Lil Wayne,BM J.R.,,,,,,
4,Lil Wayne,On The Block #1,,,,,,
5,Lil Wayne,I Miss My Dawgs,,,,,,
6,Lil Wayne,We Don't,Baby,,,,,
7,Lil Wayne,On My Own,Reel,,,,,
8,Lil Wayne,The Heat,,,,,,
9,Lil Wayne,Cash Money Millionaires,,,,,,
10,Lil Wayne,Inside,,,,,,
11,Lil Wayne,Bring It Back,Mannie Fresh,,,,,
12,Lil Wayne,Who Wanna,,,,,,
13,Lil Wayne,On The Block #2,,,,,,
14,Lil Wayne,Get Down,Baby,,,,,
15,Lil Wayne,Snitch,,,,,,
16,Lil Wayne,Hoes,Mannie Fresh,,,,,
17,Lil Wayne,Only Way,Baby,,,,,
18,Lil Wayne,Shine,Jazze Pha,,,,,
19,Lil Wayne,Ain't That A Bitch,,,,,,
20,Lil Wayne,Walk Out,,,,,,
21,Lil Wayne,Tha Mobb,,,,,,
22,Lil Wayne,Fly In,,,,,,
23,Lil Wayne,Money On My Mind,,,,,,
24,Lil Wayne,Fireman,,,,,,
25,Lil Wayne,Mo Fire,,,,,,
26,Lil Wayne,Best Rapper Alive,,,,,,
27,Lil Wayne,Lock And Load,Kurupt,,,,,
28,Lil Wayne,Oh No,,,,,,
29,Lil Wayne,Grown Man,Currency,,,,,
30,Lil Wayne,Hit Em Up,,,,,,
31,Lil Wayne,Carter II,,,,,,
32,Lil Wayne,Hustler Musik,,,,,,
33,Lil Wayne,Receipt,,,,,,
34,Lil Wayne,Shooter,Robin Thicke,,,,,
35,Lil Wayne,Weezy Baby,Nikki,,,,,
36,Lil Wayne,I'm A Dboy,Birdman,,,,,
37,Lil Wayne,Feel Me,,,,,,
38,Lil Wayne,Get Over,Nikki,,,,,
39,Lil Wayne,Fly Out,,,,,,
40,Lil Wayne,3 Peat,,,,,,
41,Lil Wayne,Mr. Carter,JAY-Z,,,,,
42,Lil Wayne,A Milli,,,,,,
43,Lil Wayne,Got Money,T-Pain,,,,,
44,Lil Wayne,Comfortable,Babyface,,,,,
45,Lil Wayne,Dr. Carter,,,,,,
46,Lil Wayne,Phone Home,,,,,,
47,Lil Wayne,Tie My Hands,Robin Thicke,,,,,
48,Lil Wayne,Mrs. Officer,Bobby V.,Kidd Kidd,,,,
49,Lil Wayne,Let The Beat Build,,,,,,
50,Lil Wayne,Shoot Me Down,D. Smith,,,,,
51,Lil Wayne,Lollipop,Static Major,,,,,
52,Lil Wayne,La La,Brisco,Busta Rhymes,,,,
53,Lil Wayne,Pussy Monster,,,,,,
54,Lil Wayne,You Ain't Got Nuthin,Juelz Santana,Fabolous,,,,
55,Lil Wayne,DontGetIt,,,,,,
56,Lil Wayne,Intr,,,,,,
57,Lil Wayne,Blunt Blowin,,,,,,
58,Lil Wayne,MegaMan,,,,,,
59,Lil Wayne,6 Foot 7 Foot,Cory Gunz,,,,,
60,Lil Wayne,Nightmares Of The Bottom,,,,,,
61,Lil Wayne,She Will,Drake,,,,,
62,Lil Wayne,How To Hate,T-Pain,,,,,
63,Lil Wayne,Interlud,Tech N9ne,,,,,
64,Lil Wayne,John,Rick Ross,,,,,
65,Lil Wayne,Abortion,,,,,,
66,Lil Wayne,So Special,John Legend,,,,,
67,Lil Wayne,How To Love,,,,,,
68,Lil Wayne,President Carter,,,,,,
69,Lil Wayne,It's Good,Drake,Jadakiss,,,,
70,Lil Wayne,Outr,Bun B,Nas,Shyne,Busta Rhymes,,
71,Lil Wayne,I Like The View,,,,,,
72,Lil Wayne,Mirror,Bruno Mars,,,,,
73,Lil Wayne,Two Shots,,,,,,
74,Lil Wayne,You Want War,Turk,,,,,
75,Lil Wayne,Up To Me,,,,,,
76,Lil Wayne,Come On,B!G,,,,,
77,Lil Wayne,Not Like Me,Big Tymers,,,,,
78,Lil Wayne,Enemy Turf,Juvenile,,,,,
79,Lil Wayne,Young Playa,Big Tymers,,,,,
80,Lil Wayne,Drop It Like It's Hot,B!G,Mannie Fresh,,,,
81,Lil Wayne,Respect Us,Juvenile,,,,,
82,Lil Wayne,Remember Me,B!G,,,,,
83,Lil Wayne,Fuck Tha World,,,,,,
84,Lil Wayne,Lights Off,,,,,,
85,Lil Wayne,High Beamin',B!G,,,,,
86,Lil Wayne,Kisha,Hot Boys,,,,,
87,Lil Wayne,Watcha Wanna Do,,,,,,
88,Lil Wayne,Loud Pipes,Big Tymers,Juvenile,B!G,,,
89,Lil Wayne,Tha Block Is Hot,,,,,,
90,Lil Wayne,Intr,Big Tymers,,,,,
91,Lil Wayne,Fly Talkin' Go Home,,,,,,
92,Lil Wayne,Fo Sheezy,,,,,,
93,Lil Wayne,Get That Dough,Baby,Tateeze,Cristale,,,
94,Lil Wayne,What Does Life Mean To Me,TQ,Big Tymers,,,,
95,Lil Wayne,F*** You,Big Tymers,,,,,
