,Artist,Track,0,1,2,3,4,5
0,6ix9ine,TROLLZ ,Nicki Minaj,,,,,
1,6ix9ine,TROLLZ - Alternate Edition ,Nicki Minaj,,,,,
2,Doja Cat,Say So ,Nicki Minaj,,,,,
3,Doja Cat,Say So ,Nicki Minaj,,,,,
4,Nicki Minaj,Yikes,,,,,,
5,Rich The Kid,Not Sorry ,Nicki Minaj,,,,,
6,Meghan Trainor,Nice to Meet Ya ,Nicki Minaj,,,,,
7,KAROL G,Tusa,Nicki Minaj,,,,,
8,Ariana Grande,Bad To You ,Normani,Nicki Minaj,,,,
9,DaBaby,iPHONE ,Nicki Minaj,,,,,
10,PnB Rock,Fendi ,Nicki Minaj,Murda Beatz,,,,
11,Pop Smoke,Welcome To The Party ,Nicki Minaj,,,,,
12,Megan Thee Stallion,Hot Girl Summer ,Ty Dolla $ign,Nicki Minaj,,,,
13,Lil Durk,Extravagant ,Nicki Minaj,,,,,
14,Chance the Rapper,Zanies and Fools,Darius Scott,Nicki Minaj,,,,
15,Chance the Rapper,Slide Around,Lil Durk,Nicki Minaj,,,,
16,Nicki Minaj,MEGATRON,,,,,,
17,Trina,BAPS,Nicki Minaj,,,,,
18,Chris Brown,Wobble Up,Nicki Minaj,G-Eazy,,,,
19,Avril Lavigne,Dumb Blonde ,Nicki Minaj,,,,,
20,Nicki Minaj,Familia ,Anuel AA,Bantu,,,,
21,Stylo G,Touch Down,The FaNaTiX,Nicki Minaj,Vybz Kartel,,,
22,6ix9ine,MAMA,Nicki Minaj,Kanye West,,,,
23,Mike WiLL Made-It,Runnin ,A$AP Rocky,A$AP Ferg,Nicki Minaj,,,
24,ZAYN,No Candle No Light ,Nicki Minaj,,,,,
25,Tyga,Dip ,Nicki Minaj,,,,,
26,Future,Transformer ,Nicki Minaj,,,,,
27,Little Mix,Woman Like Me ,Nicki Minaj,,,,,
28,6ix9ine,FEFE ,Nicki Minaj,Murda Beatz,,,,
29,Nicki Minaj,Ganja Burn,,,,,,
30,Nicki Minaj,Majesty ,Labrinth,Eminem,,,,
31,Nicki Minaj,Barbie Dreams,,,,,,
32,Nicki Minaj,Rich Sex ,Lil Wayne,,,,,
33,Nicki Minaj,Hard White,,,,,,
34,Nicki Minaj,Bed ,Ariana Grande,,,,,
35,Nicki Minaj,Thought I Knew You ,The Weeknd,,,,,
36,Nicki Minaj,Run,,,,,,
37,Nicki Minaj,Chun Swae ,Swae Lee,,,,,
38,Nicki Minaj,Chun-Li,,,,,,
39,Nicki Minaj,LLC,,,,,,
40,Nicki Minaj,Good Form,,,,,,
41,Nicki Minaj,Nip Tuck,,,,,,
42,Nicki Minaj,2 Lit 2 Late,,,,,,
43,Nicki Minaj,Come See About Me,,,,,,
44,Nicki Minaj,Sir ,Future,,,,,
45,Nicki Minaj,Miami,,,,,,
46,Nicki Minaj,Coco Chanel ,Foxy Brown,,,,,
47,Nicki Minaj,Inspirations,,,,,,
48,6ix9ine,FEFE,Nicki Minaj,Murda Beatz,,,,
49,Nicki Minaj,Ganja Burn,,,,,,
50,Nicki Minaj,Majesty ,Labrinth,Eminem,,,,
51,Nicki Minaj,Barbie Dreams,,,,,,
52,Nicki Minaj,Rich Sex ,Lil Wayne,,,,,
53,Nicki Minaj,Hard White,,,,,,
54,Nicki Minaj,Bed ,Ariana Grande,,,,,
55,Nicki Minaj,Thought I Knew You ,The Weeknd,,,,,
56,Nicki Minaj,Run,,,,,,
57,Nicki Minaj,Chun Swae ,Swae Lee,,,,,
58,Nicki Minaj,Chun-Li,,,,,,
59,Nicki Minaj,LLC,,,,,,
60,Nicki Minaj,Good Form,,,,,,
61,Nicki Minaj,Nip Tuck,,,,,,
62,Nicki Minaj,2 Lit 2 Late,,,,,,
63,Nicki Minaj,Come See About Me,,,,,,
64,Nicki Minaj,Sir ,Future,,,,,
65,Nicki Minaj,Miami,,,,,,
66,Nicki Minaj,Coco Chanel ,Foxy Brown,,,,,
67,Nicki Minaj,Inspirations,,,,,,
68,Nicki Minaj,Good Form ,Lil Wayne,,,,,
69,Ella Mai,Boo'd Up ,Nicki Minaj,Quavo,,,,
70,Playboi Carti,Poke It Out ,Nicki Minaj,,,,,
71,Nicki Minaj,Barbie Tingz,,,,,,
72,Farruko,Krippy Kush ,Nicki Minaj,Bad Bunny,21 Savage,Rvssian,,
73,Lil Uzi Vert,The Way Life Goes ,Nicki Minaj,Oh Wonder,,,,
74,Nicki Minaj,No Frauds,Drake,Lil Wayne,,,,
75,Nicki Minaj,Changed It,Lil Wayne,,,,,
76,Nicki Minaj,Regret In Your Tears,,,,,,
77,Jason Derulo,Swalla ,Nicki Minaj,Ty Dolla $ign,,,,
78,Major Lazer,Run Up,PARTYNEXTDOOR,Nicki Minaj,,,,
79,Nicki Minaj,Black Barbies,Mike WiLL Made-It,,,,,
80,Nicki Minaj,Roman In Moscow,,,,,,
81,Lil Wayne,Dark Side Of The Moon ,Nicki Minaj,,,,,
82,Jason Derulo,Goodbye ,David Guetta,Nicki Minaj,Willy William,,,
83,BTS,IDOL,Nicki Minaj,,,,,
84,Ariana Grande,the light is coming ,Nicki Minaj,,,,,
85,YG,BIG BANK ,2 Chainz,Big Sean,Nicki Minaj,,,
86,Young Thug,Anybody ,Nicki Minaj,,,,,
87,Migos,MotorSport,Nicki Minaj,Cardi B,,,,
