,Artist,Track,0,1,2,3,4,5,6
0,Huncho Jack,Houdini,Method,,,,,,
1,Travis Scott,HIGHEST IN THE ROOM,,,,,,,
2,Travis Scott,STARGAZING,,,,,,,
3,Travis Scott,CAROUSEL,,,,,,,
4,Travis Scott,SICKO MODE,,,,,,,
5,Travis Scott,R.I.P. SCREW,,,,,,,
6,Travis Scott,STOP TRYING TO BE GOD,,,,,,,
7,Travis Scott,NO BYSTANDERS,,,,,,,
8,Travis Scott,SKELETONS,,,,,,,
9,Travis Scott,WAKE UP,,,,,,,
10,Travis Scott,5% TINT,,,,,,,
11,Travis Scott,NC-17,,,,,,,
12,Travis Scott,ASTROTHUNDER,,,,,,,
13,Travis Scott,YOSEMITE,,,,,,,
14,Travis Scott,CAN'T SAY,,,,,,,
15,Travis Scott,WHO? WHAT!,,,,,,,
16,Travis Scott,BUTTERFLY EFFECT,,,,,,,
17,Travis Scott,HOUSTONFORNICATION,,,,,,,
18,Travis Scott,COFFEE BEAN,,,,,,,
19,Huncho Jack,Modern Slavery,Travis Scott,Quavo,,,,,
20,Huncho Jack,Black,Travis Scott,Quavo,,,,,
21,Huncho Jack,Eye 2 Eye,Travis Scott,Quavo,Takeoff,,,,
22,Huncho Jack,Motorcycle Patches,Travis Scott,Quavo,,,,,
23,Huncho Jack,Huncho Jack,Travis Scott,Quavo,,,,,
24,Huncho Jack,Saint,Travis Scott,Quavo,,,,,
25,Huncho Jack,Go,Travis Scott,Quavo,,,,,
26,Huncho Jack,Dubai Shit,Travis Scott,Quavo,Offset,,,,
27,Huncho Jack,Saint Laurent Mask,Travis Scott,Quavo,,,,,
28,Huncho Jack,Moon Rock,Travis Scott,Quavo,,,,,
29,Huncho Jack,How U Feel,Travis Scott,Quavo,,,,,
30,Huncho Jack,Where U From,Travis Scott,Quavo,,,,,
31,Huncho Jack,Best Man,Travis Scott,Quavo,,,,,
32,Travis Scott,the ends,,,,,,,
33,Travis Scott,way back,,,,,,,
34,Travis Scott,coordinate,,,,,,,
35,Travis Scott,through the late night,,,,,,,
36,Travis Scott,beibs in the trap,,,,,,,
37,Travis Scott,sdp,,,,,,,
38,Travis Scott,sweet sweet,,,,,,,
39,Travis Scott,outside,,,,,,,
40,Travis Scott,goosebumps,,,,,,,
41,Travis Scott,first take,,,,,,,
42,Young Thug,pick up the phone,Travis Scott,,,,,,
43,Travis Scott,lose,,,,,,,
44,Travis Scott,guidance,,,,,,,
45,Travis Scott,wonderful,,,,,,,
46,Travis Scott,Pornography,,,,,,,
47,Travis Scott,Oh My Dis Side ,Quavo,,,,,,
48,Travis Scott,3500 ,Future,2 Chainz,,,,,
49,Travis Scott,Wasted ,Juicy J,,,,,,
50,Travis Scott,90210 ,Kacy Hill,,,,,,
51,Travis Scott,Pray 4 Love ,The Weeknd,,,,,,
52,Travis Scott,Nightcrawler ,Swae Lee,Chief Keef,,,,,
53,Travis Scott,Piss On Your Grave ,Kanye West,,,,,,
54,Travis Scott,Antidote,,,,,,,
55,Travis Scott,Impossible,,,,,,,
56,Travis Scott,Maria I'm Drunk ,Justin Bieber,Young Thug,,,,,
57,Travis Scott,Flying High ,Toro y Moi,,,,,,
58,Travis Scott,I Can Tell,,,,,,,
59,Travis Scott,Apple Pie,,,,,,,
60,Travis Scott,Ok Alright ,ScHoolboy Q,,,,,,
61,Travis Scott,Never Catch Me,,,,,,,
62,Travis Scott,Mamacita ,Rich Homie Quan,Young Thug,,,,,
63,Travis Scott,Don't Play ,The 1975,Big Sean,,,,,
64,Travis Scott,Sky Fall,Young Thug,,,,,,
65,SZA,Love Galore ,Travis Scott,,,,,,
66,Trippie Redd,Dark Knight Dummo ,Travis Scott,,,,,,
67,Offset,Legacy ,Travis Scott,21 Savage,,,,,
68,Metro Boomin,Up To Something ,Travis Scott,Young Thug,,,,,
69,Juicy J,Neighbor ,Travis Scott,,,,,,
